day	hour	value
1	1	0.907011
1	2	0.769161
1	3	0.687258
1	4	0.667324
1	5	0.662835
1	6	0.664755
1	7	0.590636
2	1	0.769161
2	2	0.907011
2	3	0.836085
2	4	0.827238
2	5	0.814353
2	6	0.81222
2	7	0.741143
3	1	0.687258
3	2	0.836085
3	3	0.907011
3	4	0.884648
3	5	0.87992
3	6	0.878049
3	7	0.800105
4	1	0.667324
4	2	0.827238
4	3	0.884648
4	4	0.907011
4	5	0.901517
4	6	0.886284
4	7	0.814045
5	1	0.662835
5	2	0.814353
5	3	0.87992
5	4	0.901517
5	5	0.907011
5	6	0.907011
5	7	0.838506
6	1	0.664755
6	2	0.81222
6	3	0.878049
6	4	0.886284
6	5	0.907011
6	6	0.907011
6	7	0.855032
7	1	0.590636
7	2	0.741143
7	3	0.800105
7	4	0.814045
7	5	0.838506
7	6	0.855032
7	7	0.907011